Назва фільму,Рейтинг,Слоган,Дата выхода,Страна,Режиссер,Жанр,В качестве,В переводе,Возраст,Время,Из серии
Lego Звездные войны: Падаванская угроза,"IMDb: 7.1 (1 983)
Кинопоиск: 7.11 (925)",##,22 июля 2011 года,"США, Австралия",Дэвид Скотт,"Фантастика, Фэнтези, Семейные, Короткометражные, Зарубежные",720p,"Дубляж, Украинский дубляж и Оригинал (+субтитры)",0+ можно смотреть всей семьей и наслаждаться просмотром,22 мин.,"Мультфильмы про инопланетян, Мультфильмы про космос"
Lego Звездные войны: Империя наносит удар,"IMDb: 7.1 (1 477)
Кинопоиск: 7.22 (562)",##,26 сентября 2012 года,США,Гай Василович,"Фантастика, Боевики, Комедии, Семейные, Детские, Короткометражные, Зарубежные",720p,Дубляж и Украинский дубляж,"6+ можно смотреть всей семьей, дети могут задавать вопросы и отвлекать",21 мин.,Мультфильмы про космос
Изгой-Один. Звёздные Войны: Истории,"IMDb: 7.8 (662 453)
Кинопоиск: 7.25 (207 122)",«Мятеж с надеждой в сердце»,10 декабря 2016 года,США,Гарет Эдвардс,"Фэнтези, Боевики, Приключения, Фантастика, Зарубежные",720p,"Дубляж, Гаврилов, Живов, Сербин, Украинский дубляж и Оригинал (+субтитры)",16+ для более зрелых и понимающих,133 мин.,"Фильмы 2016 года, Фильмы про войну, Фильмы про воров и грабителей, Фильмы про инопланетян, Фильмы про космос, Фильмы про роботов, Фильмы про сверхспособности"
ЛЕГО Звездные войны: Истории дроидов,"IMDb: 7.4 (969)
Кинопоиск: 6.73 (533)",##,6 июля 2015 года,США,"Майкл Хэгнер, Мартин Сков","Боевики, Приключения, Комедии, Фантастика, Семейные, Мультсериалы, Зарубежные",720p,##,##,23 мин.,"Мультфильмы про друзей, Мультфильмы про злодеев, Мультфильмы про игрушки, Мультфильмы про космос, Мультфильмы про роботов"
Хан Соло: Звёздные Войны. Истории,"IMDb: 6.9 (364 712)
Кинопоиск: 6.94 (154 498)",«Никогда не говорите ему о шансах»,10 мая 2018 года,США,Рон Ховард,"Боевики, Приключения, Фантастика, Фэнтези, Зарубежные",720p,"HDrezka Studio, Дубляж, Живов, Сербин, Украинский дубляж и Оригинал (+субтитры)","12+ взрослые темы и понятия, но темы не раскрыты",129 мин.,"Фильмы 2018 года, Фильмы про аферы и мошенников, Фильмы про дружбу, Фильмы про космос"
Галерея Disney: Мандалорец,"IMDb: 8.3 (3 172)
Кинопоиск: 7.73 (583)",##,4 мая 2020 года,США,Брэд Барух,"Документальные, Зарубежные",720p,##,##,33 мин.,"Сериалы 2020 года, Сериалы Disney+"
ЛЕГО Звездные войны: Праздничный спецвыпуск,"IMDb: 6.4 (7 411)
Кинопоиск: 6.34 (481)",«Кому: Люк. От кого: Твой Отец»,17 ноября 2020 года,США,Кен Каннингэм,"Фантастика, Боевики, Комедии, Приключения, Семейные, Полнометражные, Зарубежные",720p,Flarrow Films,##,44 мин.,"Мультфильмы 2020 года, Мультфильмы Дисней, Мультфильмы про друзей, Мультфильмы про злодеев, Мультфильмы про инопланетян, Мультфильмы про космос, Мультфильмы про путешествия, Мультфильмы про сверхспособности"
Lego Звёздные войны: Хроники Йоды,IMDb: 7.1 (968),##,4 мая 2013 года,США,Майкл Хэгнер,"Фантастика, Боевики, Приключения, Семейные, Мультсериалы, Зарубежные",720p,##,##,22 мин.,"Мультфильмы про злодеев, Мультфильмы про игрушки, Мультфильмы про инопланетян, Мультфильмы про космос, Мультфильмы про мистику, Мультфильмы про монстров, Мультфильмы про путешествия, Мультфильмы про сверхспособности"
ЛЕГО Звёздные войны: Ужасающие сказки,"IMDb: 6.1 (2 543)
Кинопоиск: 5.86 (354)",«Давай поиграем»,1 октября 2021 года,США,Кен Каннингэм,"Фантастика, Фэнтези, Боевики, Комедии, Ужасы, Приключения, Семейные, Полнометражные, Зарубежные",720p,"колдфильм (Coldfilm), Flarrow Films и AniMaunt",##,44 мин.,"Мультфильмы 2021 года, Мультфильмы Дисней, Мультфильмы про злодеев, Мультфильмы про игрушки, Мультфильмы про инопланетян, Мультфильмы про космос, Мультфильмы про мистику, Мультфильмы про монстров, Мультфильмы про путешествия, Мультфильмы про сверхспособности"
ЛЕГО Звёздные войны: Летние каникулы,"IMDb: 5.6 (1 543)
Кинопоиск: 5.66 (207)",«Приведем это лето в полную готовность»,5 августа 2022 года,США,Кен Каннингэм,"Фантастика, Фэнтези, Приключения, Комедии, Боевики, Семейные, Короткометражные, Зарубежные",720p,"яскъер (Jaskier), Flarrow Films и Колодій Трейлерів",##,45 мин.,"Мультфильмы 2022 года, Мультфильмы Дисней, Мультфильмы про друзей, Мультфильмы про злодеев, Мультфильмы про игрушки, Мультфильмы про инопланетян, Мультфильмы про приключения"
Lego Звездные войны: Награда Бомбада,"IMDb: 6.2 (367)
Кинопоиск: 6.46 (575)",##,27 ноября 2010 года,Дания,Педер Педерсен,"Фантастика, Комедии, Короткометражные, Зарубежные",720p,Дубляж и Оригинал (+субтитры),##,5 мин.,"Мультфильмы про инопланетян, Мультфильмы про космос, Мультфильмы про приключения"
Lego Звездные войны: Поиск R2-D2,"IMDb: 6.2 (503)
Кинопоиск: 6.14 (336)",##,27 августа 2009 года,Дания,Педер Педерсен,"Фантастика, Комедии, Короткометражные, Зарубежные",720p,Дубляж и Оригинал (+субтитры),##,5 мин.,"Мультфильмы про приключения, Мультфильмы про роботов"
Робоцып: Звездные войны,"IMDb: 8.0 (8 427)
Кинопоиск: 7.50 (6 991)",«Spend Father's Day with who really raised you... Star Wars»,17 июня 2007 года,США,Сет Грин,"Фантастика, Комедии, Короткометражные, Зарубежные",720p,Гоблин и Украинский многоголосый,16+ для более зрелых и понимающих,23 мин.,"Мультфильмы Adult Swim, Мультфильмы-пародии"
Робоцып: Звездные войны. Эпизод II,"IMDb: 8.1 (4 924)
Кинопоиск: 7.35 (3 851)",##,16 ноября 2008 года,США,Сет Грин,"Фантастика, Комедии, Боевики, Приключения, Короткометражные, Зарубежные",720p,Гоблин и Украинский многоголосый,16+ для более зрелых и понимающих,22 мин.,"Мультфильмы Adult Swim, Мультфильмы-пародии"
Робоцып: Звездные войны. Эпизод III,"IMDb: 8.0 (4 587)
Кинопоиск: 7.38 (3 179)",##,19 декабря 2010 года,США,"Крис МакКей, Сет Грин","Фантастика, Комедии, Приключения, Короткометражные, Зарубежные",720p,"2x2, Многоголосый закадровый, Одноголосый закадровый, Украинский многоголосый и Оригинал (+субтитры)",16+ для более зрелых и понимающих,45 мин.,"Мультфильмы Adult Swim, Мультфильмы-пародии"
Звездный отряд: Война на Марсе,IMDb: 3.1 (797),«Смертельное противостояние»,4 июня 2005 года,США,Дэвид Флорес,"Фантастика, Зарубежные",720p,"Дубляж, Многоголосый закадровый, Украинский (ТРК Украина) и Оригинал (+субтитры)",16+ для более зрелых и понимающих,92 мин.,"Фильмы про войну, Фильмы про космос"
